time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-01-29 23:03:25 +0200,1.0,22223712670,0,0,1179,7
2025-01-29 23:03:26 +0200,18.0,58146,724,2311,2267,14
2025-01-29 23:03:27 +0200,21.0,48372,441,895,2358,15
2025-01-29 23:03:28 +0200,22.0,46873,408,1049,2358,15
2025-01-29 23:03:29 +0200,22.0,46845,447,981,2358,15
2025-01-29 23:03:30 +0200,22.0,47033,396,967,2358,15
2025-01-29 23:03:31 +0200,22.0,46707,361,969,2358,15
2025-01-29 23:03:32 +0200,22.0,46876,408,914,2358,15
2025-01-29 23:03:33 +0200,22.0,46903,398,957,2358,15
2025-01-29 23:03:34 +0200,22.0,46851,386,889,2358,15
2025-01-29 23:03:35 +0200,22.0,46856,380,956,2358,15
2025-01-29 23:03:36 +0200,17.0,60651,418,876,2358,15
2025-01-29 23:03:38 +0200,21.0,49085,425,901,2360,15
2025-01-29 23:03:39 +0200,20.0,50862,470,842,2361,15
2025-01-29 23:03:40 +0200,20.0,50830,507,1000,2362,15
2025-01-29 23:03:41 +0200,18.0,56281,444,824,2517,16
2025-01-29 23:03:42 +0200,22.0,46887,493,862,2633,17
2025-01-29 23:03:43 +0200,22.0,46856,425,932,2995,19
2025-01-29 23:03:44 +0200,22.0,46857,475,992,2995,19
2025-01-29 23:03:45 +0200,22.0,46870,407,956,2995,19
2025-01-29 23:03:46 +0200,19.0,54453,394,946,2995,19
2025-01-29 23:03:47 +0200,20.0,52718,322,850,2995,19
2025-01-29 23:03:48 +0200,14.0,80829,380,1006,2995,19
2025-01-29 23:03:49 +0200,4.0,287205,374,794,2995,19
2025-01-29 23:03:50 +0200,4.0,341804,370,925,2995,19
2025-01-29 23:03:51 +0200,4.0,256249,385,1022,2995,19
2025-01-29 23:03:52 +0200,16.0,63688,415,916,2995,19
2025-01-29 23:03:53 +0200,22.0,46899,409,979,2995,19
2025-01-29 23:03:55 +0200,22.0,46849,422,1074,2995,19
2025-01-29 23:03:56 +0200,22.0,46905,374,901,2996,19
2025-01-29 23:03:57 +0200,18.0,58220,507,1016,3015,19
2025-01-29 23:03:59 +0200,19.0,105704,477,963,3009,19
2025-01-29 23:04:00 +0200,13.0,77071,454,880,3603,23
2025-01-29 23:04:01 +0200,19.0,54519,427,847,4360,28
2025-01-29 23:04:02 +0200,16.0,64428,417,856,5167,33
