time,FPS,appCPU (us),renderCPU (us),appGPU (us),VRAM (MB),VRAM (%)
2025-02-04 18:51:51 +0200,1.0,942061967,0,0,1228,8
2025-02-04 18:51:53 +0200,17.0,52438,514,2466,2312,15
2025-02-04 18:51:54 +0200,22.0,38764,335,1038,2312,15
2025-02-04 18:51:55 +0200,20.0,44055,347,890,2403,15
2025-02-04 18:51:56 +0200,22.0,39572,273,915,2403,15
2025-02-04 18:51:57 +0200,22.0,39261,294,927,2403,15
2025-02-04 18:51:58 +0200,22.0,39504,264,998,2403,15
2025-02-04 18:51:59 +0200,22.0,39380,280,944,2403,15
2025-02-04 18:52:00 +0200,22.0,38810,249,927,2403,15
2025-02-04 18:52:01 +0200,22.0,39282,277,917,2403,15
2025-02-04 18:52:02 +0200,22.0,38912,246,973,2403,15
2025-02-04 18:52:03 +0200,22.0,39632,273,958,2403,15
2025-02-04 18:52:04 +0200,22.0,38700,259,990,2403,15
2025-02-04 18:52:05 +0200,22.0,38963,268,979,2403,15
2025-02-04 18:52:06 +0200,16.0,54017,296,1003,2403,15
2025-02-04 18:52:07 +0200,21.0,42679,320,952,2404,15
2025-02-04 18:52:08 +0200,20.0,42383,333,941,2405,15
2025-02-04 18:52:09 +0200,19.0,47266,352,923,2406,15
2025-02-04 18:52:10 +0200,21.0,42308,308,911,2408,15
2025-02-04 18:52:11 +0200,18.0,47224,324,836,2436,15
2025-02-04 18:52:12 +0200,22.0,39377,353,710,2643,17
2025-02-04 18:52:13 +0200,22.0,39433,354,946,2763,18
2025-02-04 18:52:14 +0200,22.0,39282,340,1031,3041,19
2025-02-04 18:52:15 +0200,22.0,39273,374,1036,3041,19
2025-02-04 18:52:16 +0200,22.0,38811,320,947,3041,19
2025-02-04 18:52:17 +0200,22.0,40024,323,1003,3041,19
2025-02-04 18:52:18 +0200,20.0,44789,329,1036,3041,19
2025-02-04 18:52:19 +0200,17.0,53107,268,957,3041,19
2025-02-04 18:52:20 +0200,17.0,53400,278,937,3041,19
2025-02-04 18:52:21 +0200,9.0,121631,266,870,3041,19
2025-02-04 18:52:23 +0200,4.0,301457,266,841,3041,19
2025-02-04 18:52:24 +0200,3.0,350386,315,929,3041,19
2025-02-04 18:52:25 +0200,4.0,262249,276,905,3041,19
2025-02-04 18:52:26 +0200,14.0,64580,278,1016,3041,19
2025-02-04 18:52:27 +0200,22.0,39175,260,1013,3041,19
2025-02-04 18:52:28 +0200,22.0,39759,266,977,3041,19
2025-02-04 18:52:29 +0200,22.0,40006,275,943,3041,19
2025-02-04 18:52:30 +0200,18.0,48975,283,969,3041,19
2025-02-04 18:52:31 +0200,21.0,43362,332,954,3054,19
2025-02-04 18:52:33 +0200,17.0,104504,347,870,3052,19
2025-02-04 18:52:34 +0200,14.0,66241,342,833,3601,23
2025-02-04 18:52:35 +0200,19.0,47016,342,1029,4232,27
2025-02-04 18:52:36 +0200,17.0,53873,311,959,4952,32
2025-02-04 18:52:37 +0200,17.0,52510,300,911,5577,36
2025-02-04 18:52:38 +0200,19.0,47638,297,994,6224,40
2025-02-04 18:52:39 +0200,22.0,38788,291,993,6891,45
2025-02-04 18:52:40 +0200,22.0,38909,299,974,2171,14
2025-02-04 18:52:41 +0200,22.0,38992,302,939,2846,18
2025-02-04 18:52:42 +0200,22.0,38772,319,1020,3318,21
2025-02-04 18:52:43 +0200,22.0,39323,306,986,3755,24
